date,1. open,2. high,3. low,4. close,5. volume
2013-11-10,1.7076,1.7104,1.7047,1.708,0.0
2013-11-07,1.701,1.7077,1.6972,1.7011,0.0
2013-11-06,1.688,1.6978,1.6876,1.6879,0.0
2013-11-05,1.6886,1.6921,1.6867,1.6886,0.0
2013-11-04,1.6787,1.693,1.6777,1.6788,0.0
2013-11-03,1.6814,1.6824,1.6765,1.6819,0.0
2013-10-31,1.6952,1.6962,1.6828,1.6952,0.0
2013-10-30,1.6922,1.696,1.6822,1.6919,0.0
2013-10-29,1.6926,1.6952,1.6863,1.6931,0.0
2013-10-28,1.6912,1.6943,1.6853,1.6908,0.0
2013-10-27,1.6849,1.6888,1.6827,1.6845,0.0
2013-10-24,1.6838,1.6934,1.6834,1.6836,0.0
2013-10-23,1.6764,1.6885,1.6754,1.6764,0.0
2013-10-22,1.6727,1.6824,1.6647,1.6726,0.0
2013-10-21,1.671,1.6726,1.6657,1.6711,0.0
2013-10-20,1.6734,1.6757,1.6697,1.6737,0.0
2013-10-17,1.6788,1.6806,1.6725,1.6792,0.0
2013-10-16,1.6703,1.6777,1.669,1.6702,0.0
2013-10-15,1.6752,1.6828,1.668,1.6753,0.0
2013-10-14,1.6792,1.6796,1.671,1.6787,0.0
2013-10-13,1.69,1.6919,1.6848,1.6901,0.0
2013-10-10,1.6892,1.6905,1.6828,1.6895,0.0
2013-10-09,1.688,1.6954,1.6854,1.6881,0.0
2013-10-08,1.7054,1.7076,1.6838,1.7062,0.0
2013-10-07,1.7063,1.7078,1.6954,1.7062,0.0
2013-10-06,1.6985,1.7109,1.6974,1.6981,0.0
2013-10-03,1.7181,1.7181,1.699,1.7186,0.0
2013-10-02,1.7298,1.7324,1.7183,1.7294,0.0
2013-10-01,1.7238,1.7384,1.7189,1.7239,0.0
2013-09-30,1.7358,1.7409,1.7209,1.7366,0.0
2013-09-29,1.7386,1.7404,1.7263,1.7379,0.0
2013-09-26,1.7133,1.7328,1.7107,1.7133,0.0
2013-09-25,1.7167,1.7186,1.7065,1.7161,0.0
2013-09-24,1.704,1.7175,1.7029,1.7041,0.0
2013-09-23,1.7025,1.7064,1.6984,1.7022,0.0
2013-09-22,1.7039,1.7068,1.6956,1.7033,0.0
2013-09-19,1.6977,1.705,1.6956,1.6977,0.0
2013-09-18,1.6984,1.7001,1.6875,1.6982,0.0
2013-09-17,1.7004,1.7092,1.6992,1.7,0.0
2013-09-16,1.7062,1.7112,1.6976,1.7055,0.0
2013-09-15,1.7088,1.7114,1.6966,1.7091,0.0
2013-09-12,1.7055,1.7169,1.7039,1.7057,0.0
2013-09-11,1.6954,1.7133,1.6925,1.6949,0.0
2013-09-10,1.6909,1.7004,1.6882,1.6913,0.0
2013-09-09,1.7003,1.7003,1.6877,1.7,0.0
2013-09-08,1.7007,1.706,1.6985,1.7001,0.0
2013-09-05,1.7096,1.7103,1.6964,1.7093,0.0
2013-09-04,1.7037,1.7138,1.6998,1.7029,0.0
2013-09-03,1.7187,1.721,1.6996,1.7184,0.0
2013-09-02,1.7273,1.7326,1.7123,1.7271,0.0
2013-09-01,1.7358,1.737,1.7284,1.7358,0.0
2013-08-29,1.7369,1.7386,1.7325,1.7371,0.0
2013-08-28,1.7353,1.7378,1.7288,1.7356,0.0
2013-08-27,1.7378,1.7444,1.7306,1.7374,0.0
2013-08-26,1.7291,1.7395,1.7271,1.7285,0.0
2013-08-25,1.7253,1.7286,1.72,1.7254,0.0
2013-08-22,1.7293,1.7376,1.723,1.7286,0.0
2013-08-21,1.7411,1.7475,1.7232,1.7408,0.0
2013-08-20,1.7289,1.7411,1.7287,1.728,0.0
2013-08-19,1.7163,1.7327,1.7153,1.7161,0.0
2013-08-18,1.6982,1.716,1.6932,1.6981,0.0
2013-08-15,1.7118,1.7123,1.6958,1.7125,0.0
2013-08-14,1.6965,1.7138,1.6906,1.6967,0.0
2013-08-13,1.6984,1.7028,1.6935,1.6978,0.0
2013-08-12,1.6959,1.7046,1.6902,1.6954,0.0
2013-08-11,1.6906,1.6942,1.6801,1.6891,0.0
2013-08-08,1.7055,1.7091,1.6861,1.705,0.0
2013-08-07,1.7205,1.7233,1.7053,1.7217,0.0
2013-08-06,1.707,1.7339,1.7023,1.7071,0.0
2013-08-05,1.7221,1.7236,1.7061,1.7221,0.0
2013-08-04,1.7162,1.7265,1.7156,1.7162,0.0
2013-08-01,1.6913,1.716,1.6909,1.691,0.0
2013-07-31,1.6943,1.7026,1.6872,1.6953,0.0
2013-07-30,1.6797,1.6955,1.6797,1.6796,0.0
2013-07-29,1.6676,1.694,1.666,1.6682,0.0
